Occurrence Number,Occurrence Date,Registered On,State,Investigation Type,Risk,Title,Reg Mark
O19541-26,20/08/2026 20:06,21/08/2026,Open,,,Falta de cortina en la zona de descanso de tripulación,N793AV
O19516-26,20/08/2026 15:20,21/08/2026,Open,,,INFORME IRO – EVENTO MÉDICO A BORDO AV200,N762AV
O19398-26,20/08/2026 01:40,20/08/2026,Open,Logged for Statistics,Acceptable (2),AVA- PAX ILLNESS MEDICAL KIT USED,N784AV
O19324-26,19/08/2026 18:16,20/08/2026,In Progress,Assessment Only,Tolerable (20),AVA- LOOSE TROLLEYS FOUND AFTER ARRIVAL,N446AV
O19459-26,18/08/2026 23:59,21/08/2026,Open,,,Falta de cortina en la zona de descanso de tripulación,N780AV
O19453-26,17/08/2026 15:00,21/08/2026,Open,,,pasajera disruptiva,N281AV
O19452-26,17/08/2026 12:00,21/08/2026,Open,,,Equipo de emergencia utilizado en primer auxilio,N762AV
O19387-26,17/08/2026 02:30,20/08/2026,Open,Logged for Statistics,Acceptable (2),AVA- PAX ILLNESS MEDICAL KIT USED,HK-5390
O19451-26,16/08/2026 18:00,21/08/2026,Open,,,TAI- PASSENGER MEDICAL EVENT DURING DESCENT,N938AV
O19049-26,15/08/2026 17:39,18/08/2026,Open,Logged for Statistics,Acceptable (2),AVA- PAX ILLNESS MEDICAL KIT USED,N781AV
O19062-26,15/08/2026 16:05,18/08/2026,Open,Logged for Statistics,Acceptable (2),AVA- PAX ILLNESS,N784AV
O19003-26,15/08/2026 16:00,18/08/2026,Open,Logged for Statistics,Acceptable (2),AVA- PAX ILLNESS MEDICAL KIT USED,N782AV
O19060-26,15/08/2026 15:50,18/08/2026,Open,Logged for Statistics,Acceptable (2),AVA- PAX ILLNESS MEDICAL KIT USED,N784AV
O19174-26,14/08/2026 19:00,19/08/2026,Open,Logged for Statistics,Acceptable (2),AVA- PAX ILLNESS MEDICAL KIT USED,N943AV
O18965-26,14/08/2026 06:15,18/08/2026,Open,Logged for Statistics,Acceptable (2),AVA- PAX ILLNESS,HK-5393
O19001-26,14/08/2026 04:40,18/08/2026,Open,Logged for Statistics,Acceptable (2),AVA- PAX ILLNESS AND FLIGHT DIVERTED TO LPLA,N781AV
O19045-26,14/08/2026 01:30,18/08/2026,Open,Logged for Statistics,Acceptable (2),AVA- PAX ILLNESS MEDICAL KIT USED,HK-5365
O18821-26,12/08/2026 19:41,14/08/2026,Open,Logged for Statistics,Acceptable (2),AVA- PAX ILLNESS MEDICAL KIT USED,N955AV
O18768-26,09/08/2026 22:30,13/08/2026,Open,Logged for Statistics,Acceptable (4),AVA- POTENTIAL INCORRECT LARGE INSTRUMENT STORAGE IN CABIN,N398AV
O19447-26,09/08/2026 00:10,21/08/2026,Open,,,Descanso en Jump Seat de high confort,N786AV
O19445-26,07/08/2026 09:17,21/08/2026,Open,,,AVA- LACK OF CREW REST AREA CURTAIN ONBOARD,N785AV
O18074-26,07/08/2026 05:00,10/08/2026,Open,Logged for Statistics,Acceptable (2),AVA- PAX ILLNESS MEDICAL KIT USED,HK-5352
O18065-26,06/08/2026 23:58,10/08/2026,Open,Logged for Statistics,Acceptable (2),AVA- PAX ILLNESS MEDICAL KIT USED,HK-5352
O17929-26,04/08/2026 01:40,05/08/2026,Open,Logged for Statistics,Acceptable (2),AVA- PAX ILLNESS MEDICAL KIT USED,HK-5352
O19442-26,03/08/2026 22:00,21/08/2026,Open,,,Basura en galley trasero AV263,
O17729-26,01/08/2026 16:40,03/08/2026,Open,Logged for Statistics,Acceptable (2),AVA- PAX ILLNESS MEDICAL KIT USED,HK-5409
O17691-26,01/08/2026 11:36,03/08/2026,In Progress,Assessment Only,Acceptable (4),AVA- PIN NOT PROPERLY POSITIONED,N741AV
O17645-26,31/07/2026 19:30,03/08/2026,Open,Logged for Statistics,Acceptable (4),AVA- A/C RETURN TO GATE DUE TO ILLNESS PAX,N944AV
O17607-26,31/07/2026 12:00,03/08/2026,Open,Logged for Statistics,Acceptable (4),AVA- PASSENGER INJURY DURING CABIN SERVICE,N477AV
O17594-26,31/07/2026 10:07,03/08/2026,Open,Logged for Statistics,Acceptable (1),AVA- COCKPIT OPEN DURING DISEMBARKATION,N398AV
O17357-26,29/07/2026 09:12,30/07/2026,Open,Logged for Statistics,Acceptable (4),AVA- A/C RETURN TO GATE DUE TO ILLNESS PAX,N454AV
O17308-26,29/07/2026 05:05,29/07/2026,Open,Logged for Statistics,Acceptable (4),AVA- POTENTIAL OVERHEATED ELECTRONIC DEVICES IN FOOD BOX DURING OVERNIGHT PARKING,N961AV
O17542-26,29/07/2026 01:00,03/08/2026,Open,Logged for Statistics,Acceptable (2),AVA- PAX ILLNESS,HK-5365
O17429-26,28/07/2026 16:30,31/07/2026,In Progress,Assessment Only,Acceptable (4),AVA- ELECTRONIC DEVICE DROPPED WHEN DOOR IS OPEN,N557AV
O17262-26,27/07/2026 14:22,29/07/2026,Open,Logged for Statistics,Acceptable (2),AVA- A/C RETURN TO GATE DUE TO ILLNESS PAX,N943AV
O17123-26,26/07/2026 22:15,27/07/2026,In Progress,Assessment Only,Acceptable (4),AVA- CABIN CREW INJURY DUE TO TURBULENCE,HK-5360
O17233-26,26/07/2026 11:00,28/07/2026,Open,Logged for Statistics,Acceptable (2),AVA- PAX ILLNESS,HK-5368
O16942-26,24/07/2026 12:20,27/07/2026,Open,Logged for Statistics,Acceptable (2),AVA- PAX ILLNESS MEDICAL KIT USED,N782AV
O16935-26,24/07/2026 11:00,27/07/2026,Open,Logged for Statistics,Acceptable (4),AVA- MEDICAL KIT DISCREPANCY DURING INFLIGHT MEDICAL EVENT,N943AV
O16310-26,22/07/2026 12:19,22/07/2026,In Progress,Assessment Only,Acceptable (1),AVA- ON BOARD SERVICE DURING TAXI OUT,
O16705-26,20/07/2026 23:35,24/07/2026,Open,Logged for Statistics,Acceptable (4),AVA- PASSENGER HEAD INJURY,HK-5335
O19440-26,20/07/2026 05:30,21/08/2026,Open,,,GLG- GALLEY COFFEE MAKER UNAVAILABILITY DURING FLIGHT SERVICE,N775AV
O17526-26,19/07/2026 12:27,03/08/2026,Open,Logged for Statistics,Acceptable (2),AVA- PAX ILLNESS AND MEDICAL KIT USE,N794AV
O16664-26,18/07/2026 13:00,24/07/2026,Open,Logged for Statistics,Acceptable (1),AVA- VERY HIGH TEMPERATURE IN THE CABIN,N481AV
O16781-26,17/07/2026 10:30,24/07/2026,Open,Logged for Statistics,Acceptable (2),AVA- PAX ILLNESS MEDICAL KIT USED,N962AV
O16769-26,17/07/2026 06:02,24/07/2026,Open,Logged for Statistics,Acceptable (2),AVA- PAX ILLNESS MEDICAL KIT USED,N762AV
O17738-26,17/07/2026 05:00,03/08/2026,Open,Logged for Statistics,Acceptable (2),GLG- PAX ILLNESS AND FLIGHT DIVERTED TO MIA,N963AV
O17282-26,17/07/2026 03:30,29/07/2026,Open,Logged for Statistics,Acceptable (2),GLG- PAX ILLNESS AND FLIGHT DIVERTED TO MIA,N963AV
O16749-26,16/07/2026 09:20,24/07/2026,Open,Logged for Statistics,Acceptable (4),AVA- POTENTIAL EVACUATION DELAY DUE TO PASSENGER MOBILITY REQUIREMENTS,N454AV
O16734-26,12/07/2026 01:30,24/07/2026,Open,Logged for Statistics,Acceptable (2),AVA- PAX ILLNESS MEDICAL KIT USED AND PAX WHO DOES NOT FOLLOW INSTRUCTIONS,N786AV
O15824-26,11/07/2026 18:00,16/07/2026,Open,Logged for Statistics,Acceptable (2),AVA- POTENTIAL FIRE RISK DUE TO DAMAGED IPAD CASE,N562AV
O15809-26,11/07/2026 12:14,16/07/2026,Open,Logged for Statistics,Acceptable (1),AVA- FUELING WITH PASSENGERS IN AISLE PRECAUTIONARY,HK-5406
O15756-26,10/07/2026 17:00,16/07/2026,In Progress,Assessment Only,Acceptable (4),AVA- ELECTRONIC DEVICE DROPPED WHEN DOOR IS OPEN,N562AV
O17158-26,02/07/2026 19:45,28/07/2026,Open,Logged for Statistics,Acceptable (2),AVA- PAX ILLNESS,N206FR
O16723-26,26/06/2026 20:00,24/07/2026,Open,Logged for Statistics,Acceptable (2),AVA- PAX ILLNESS,N726AV
O13310-26,11/06/2026 19:30,12/06/2026,In Progress,Assessment Only,Tolerable (20),AVA- FLIGHT CREW INJURY DURING TURBULENCE,N632AV
O12684-26,02/06/2026 13:20,04/06/2026,In Progress,Assessment Only,Acceptable (4),AVA - TURBULENCE DURING DESCENT,N782AV
O19439-26,02/06/2026 00:42,21/08/2026,Open,,,AVA- PASSENGER MEDICAL EVENT IN FLIGHT,HK-5409
O17414-26,03/02/2026 22:30,31/07/2026,Open,Logged for Statistics,Acceptable (2),AVA- PASSENGER ILLNESS AND MEDICAL KIT USE,N794AV
O20471-25,26/12/2025 16:20,29/12/2025,Open,Logged for Statistics,Acceptable (4),COL-AT ANDERSON STIVEN PINEDA SOTAQUIRA,N741AV
O21134-25,07/12/2025 03:05,09/06/2026,Open,,,AVA- PAX ILLNESS AND MEDICAL KIT USE,HK-5388
O21138-25,06/12/2025 21:30,06/07/2026,Open,Logged for Statistics,Acceptable (1),AVA- PAX ILLNESS AND MEDICAL KIT USE,N783AV
O21123-25,29/10/2025 11:29,11/05/2026,Open,,,AVA- PAX ILLNESS,HK-5408
O13981-25,11/10/2025 15:34,14/10/2025,In Progress,Full Investigation,Tolerable (21),AVA- ATB DUE TO AIR ENG 1 BLEED HI TEMP [1525951],HK-5365
O21150-25,09/08/2025 19:30,03/08/2026,Open,Logged for Statistics,Acceptable (2),AVA- PAX ILLNESS MEDICAL KIT USED,N959AV
O4712-25,21/04/2025 15:30,22/04/2025,In Progress,Full Investigation,Tolerable (101),"AVA - ATB&#43,IFSD ENG 1 FIRE INDICATION AT TAKEOFF SKCC [1406137]",N992AV
O4155-25,02/04/2025 22:50,10/04/2025,Open,,Tolerable (20),AVA- [DG] PHONE OVERHEATING PAX AT BOG,N781AV
O12545-24,20/12/2024 07:20,02/07/2025,Open,,,TAI- INCOMPLETE BATTERYS,N901AV
O11920-24,14/12/2024 09:50,16/12/2024,In Progress,Assessment Only,B (100),AVA- FUMIGATION ON AIRCRAFT AT BOG,HK-5352
O11408-24,27/11/2024 18:37,28/11/2024,In Progress,Full Investigation,A (500),AVA- RTO DUE TO ENG 1 FAIL,HK-5407
O10994-24,16/11/2024 15:15,18/11/2024,In Progress,Full Investigation,B (100),AVA- FLIGHT ATTENDANT ACCIDENT DURING DESCENT TO BOG [1297582] / COL-AT Samantha Leiton Prado,N411AV
O9888-24,12/10/2024 15:00,16/10/2024,In Progress,Assessment Only,C (5),TAI- [DG] POWERBANKS OVERHEATED AT MIA,N939AV
O10742-23,31/12/2023 02:00,03/01/2024,Open,Assessment Only,C (20),AVA- WRONG FUELING PROCEDURE WITH PAX ON BOARD AT GRU,N938AV
O10656-23,28/12/2023 14:15,29/12/2023,Open,Logged for Statistics,C (20),AVA- WRONG GRH PROCEDURE AT MDE,HK-5320
O10599-23,25/12/2023 05:30,26/12/2023,Open,Logged for Statistics,C (5),AVA- DOOR STICKER,HK-5361
O10294-23,12/12/2023 08:38,13/12/2023,In Progress,Assessment Only,C (20),AVA- TAKE OFF WITHOUT CABIN READY AT SMR [1077186],HK-5424
O10105-23,03/12/2023 12:00,06/12/2023,Open,Logged for Statistics,D (3),AVA- PAX ILLNESS AT MCO,N964AV
O10124-23,02/12/2023 17:55,06/12/2023,Open,Logged for Statistics,C (5),AVA- WRONG FLIGHT CREW PROCEDURES AT MDE,HK-5273
O9810-23,24/11/2023 12:00,27/11/2023,Open,Logged for Statistics,,AVA- UNCOMPLETED DOCUMENTATION AT BOG,N401AV
O9609-23,14/11/2023 17:45,17/11/2023,Open,Logged for Statistics,D (3),AVA- PAX ILLNESS AT BOG,HK-5352
O11048-23,11/11/2023 10:04,08/05/2025,Open,Logged for Statistics,Acceptable (2),AVA- PAX ILLNEES MEDICAL KIT USE AT SMR AV9258,N944AV
O8519-23,28/09/2023 18:30,09/10/2023,Open,Logged for Statistics,C (20),GLG- MANUAL PROCEDURE NOT FOLLOWED AT UIO,HC-CSF
O10867-23,27/09/2023 08:10,21/02/2024,Open,,D (3),AVA- ILLNESS PAX,N755AV
O8290-23,25/09/2023 16:07,29/09/2023,Open,Logged for Statistics,D (3),AVA- FIRE EXTINGUISHER PRESSURE GAUGE SHOWS LOW PRESSURE AT BOG,N4304
O7999-23,20/09/2023 14:45,21/09/2023,Open,Logged for Statistics,D (3),AVA- PAX ILLNESS DURING APP AT MDE,N748AV
O7532-23,29/08/2023 13:14,06/09/2023,Open,Logged for Statistics,C (5),AVA- LACK OF PERSONAL AT BOG,N791AV
O7197-23,19/08/2023 14:50,25/08/2023,Open,Logged for Statistics,D (2),AVA- DISCOMFORT THERMAL DUE TO HIGH TEMPERATURES AT BOG,N920CG
O6949-23,14/08/2023 22:29,16/08/2023,Open,Logged for Statistics,C (5),AVA- PAX ILLNESS AT BGA,N957AV
O6937-23,14/08/2023 07:55,16/08/2023,Open,Logged for Statistics,D (2),AVA- PASSENGER ILLNES AT MDE,N955AV
O6735-23,06/08/2023 09:20,10/08/2023,Open,Logged for Statistics,D (3),AVA- PAX ILLNESS DURING CRUISE TO BAQ,HK-5425
O6605-23,03/08/2023 20:56,04/08/2023,Open,Logged for Statistics,D (2),AVA- PAX INJURY AT MDE,HK-5273
O6554-23,01/08/2023 10:10,03/08/2023,Open,Logged for Statistics,D (0),AVA- SLIDE LANDYARD OUTSIDE THE DOOR AT BOG,N451AV
O6542-23,28/07/2023 16:00,03/08/2023,Open,Logged for Statistics,C (5),AVA- LACK PERSONNEL IN EUROPEAN FLIGHTS,N786AV
O6582-23,26/07/2023 21:25,04/08/2023,Open,Logged for Statistics,D (0),AVA- WRONG FLIGHT CREW PROCEDURE,N785AV
O6487-23,23/07/2023 15:40,01/08/2023,Open,Logged for Statistics,D (3),AVA- LACK OF PERSONNEL FOR EUROPEAN FLIGHTS,N793AV
O6471-23,22/07/2023 13:30,01/08/2023,Open,Logged for Statistics,D (0),AVA- CABIN CREW PROCEDURE NOT FOLLOWED AT BCN,N781AV
O6173-23,22/07/2023 12:00,24/07/2023,Open,Logged for Statistics,D (3),AVA- LENGUAGE COMMUNICATIOS ISSUES WITH AFRICAN PAX AT SAL,
O6287-23,21/07/2023 16:48,25/07/2023,Open,Logged for Statistics,D (0),AVA- WRONG CABIN PROCEDURES AT MTR,N411AV
O6407-23,20/07/2023 16:50,31/07/2023,Open,Logged for Statistics,C (20),AVA- LACK OF PERSONAL AT BOG,N786AV
O6167-23,20/07/2023 15:00,24/07/2023,Open,Logged for Statistics,C (20),Servicio a Europa,N786AV
O6184-23,19/07/2023 14:17,24/07/2023,Open,Logged for Statistics,D (0),AVA- SEC PERSONEL DIDNT USE SAFETY BELT ON A/C MOVEMENTS,N964AV
O6404-23,15/07/2023 23:15,28/07/2023,Open,Logged for Statistics,C (5),AVA- LACK OF PERSONNEL IN FLIGHTS TO EUROPE AT BOG,N796AV
O6458-23,02/07/2023 23:45,01/08/2023,Open,Logged for Statistics,D (3),AVA- LACK PERSONNEL IN EUROPEAN FLIGHTS,N781AV
O5449-23,28/06/2023 17:04,30/06/2023,Open,Logged for Statistics,C (5),GLG- WRONG PUSHBACK PROCEDURE WITHOUT SLIDE ARMED AT UIO,HC-CSF
O14-23,01/01/2023 03:18,05/01/2023,In Progress,Assessment Only,,AVA- FATIGUED CREW AT MDE (IRO13-23),
O4608-22,23/08/2022 09:00,24/08/2022,Open,Assessment Only,C (20),AVA- CABIN DOOR PROCEDURES AT SJO,N763AV
