id;fecha;registrada;estado;investigacion;riesgo;titulo;matricula
O19398-26;20/08/2026 01:40;20/08/2026;O;LS;Acceptable (2);AVA- PAX ILLNESS MEDICAL KIT USED;N784AV
O19324-26;19/08/2026 18:16;20/08/2026;P;AO;Tolerable (20);AVA- LOOSE TROLLEYS FOUND AFTER ARRIVAL;N446AV
O19274-26;18/08/2026 06:58;20/08/2026;O;LS;Acceptable (4);AVA- CURTAIN CLOSURE PROCEDURE;N195AV
O19370-26;17/08/2026 16:00;20/08/2026;O;LS;Acceptable (2);AVA- MISSING CABIN CREW REST CURTAIN;N782AV
O19284-26;17/08/2026 13:30;20/08/2026;O;LS;Acceptable (4);AVA- CURTAIN CLOSURE PROCEDURE;HK-5365
O19387-26;17/08/2026 02:30;20/08/2026;O;LS;Acceptable (2);AVA- PAX ILLNESS MEDICAL KIT USED;HK-5390
O19049-26;15/08/2026 17:39;18/08/2026;O;LS;Acceptable (2);AVA- PAX ILLNESS MEDICAL KIT USED;N781AV
O19062-26;15/08/2026 16:05;18/08/2026;O;;;AVA- MEDLINK CALL NOT ACTIVATED DURING PASSENGER MEDICAL EVENT;N784AV
O19003-26;15/08/2026 16:00;18/08/2026;O;LS;Acceptable (2);AVA- PAX ILLNESS MEDICAL KIT USED;N782AV
O19060-26;15/08/2026 15:50;18/08/2026;O;LS;Acceptable (2);AVA- PAX ILLNESS MEDICAL KIT USED;N784AV
O19061-26;15/08/2026 11:35;18/08/2026;O;LS;Acceptable (4);AVA- MISSING CABIN CREW REST CURTAIN;N784AV
O19174-26;14/08/2026 19:00;19/08/2026;O;LS;Acceptable (2);AVA- PAX ILLNESS MEDICAL KIT USED;N943AV
O19069-26;14/08/2026 15:25;18/08/2026;O;LS;Acceptable (1);AVA- MISSING CURTAIN IN CREW REST AREA;N780AV
O18965-26;14/08/2026 06:15;18/08/2026;O;LS;Acceptable (2);AVA- PAX ILLNESS;HK-5393
O19001-26;14/08/2026 04:40;18/08/2026;O;LS;Acceptable (2);AVA- PAX ILLNESS AND FLIGHT DIVERTED TO LPLA;N781AV
O19045-26;14/08/2026 01:30;18/08/2026;O;LS;Acceptable (2);AVA- PAX ILLNESS MEDICAL KIT USED;HK-5365
O18821-26;12/08/2026 19:41;14/08/2026;O;LS;Acceptable (2);AVA- PAX ILLNESS MEDICAL KIT USED;N955AV
